Amount,Memoized DP (Recursive),Memoized DP (Iterative),Bottom-Up DP,Greedy
734,0.0021867752075195312,0.002115964889526367,0.0006628036499023438,1.0013580322265625e-05
1000,0.0031261444091796875,0.0025358200073242188,0.0008120536804199219,3.814697265625e-06
2001,0.004993915557861328,0.00457000732421875,0.0013201236724853516,6.9141387939453125e-06
3003,0.0061798095703125,0.005041837692260742,0.0014450550079345703,4.0531158447265625e-06
5000,0.007657051086425781,0.007622241973876953,0.0023598670959472656,5.9604644775390625e-06
