Amount,Memoized DP (Recursive),Memoized DP (Iterative),Bottom-Up DP,Greedy
734,0.002827882766723633,0.002353191375732422,0.0007560253143310547,1.1920928955078125e-05
1000,0.003184795379638672,0.002919912338256836,0.0009100437164306641,4.0531158447265625e-06
2001,0.005254030227661133,0.005005836486816406,0.0014698505401611328,3.814697265625e-06
3003,0.00692296028137207,0.006697893142700195,0.002007007598876953,5.245208740234375e-06
5000,0.009749889373779297,0.009158849716186523,0.0028002262115478516,5.0067901611328125e-06
