Amount,Memoized DP (Recursive),Memoized DP (Iterative),Bottom-Up DP,Greedy
734,0.0056951045989990234,0.0017218589782714844,0.0005102157592773438,1.0013580322265625e-05
1000,0.0022008419036865234,0.002170085906982422,0.0006940364837646484,3.0994415283203125e-06
2001,0.00420379638671875,0.004002094268798828,0.0012569427490234375,3.0994415283203125e-06
3003,0.0054438114166259766,0.005375862121582031,0.0015490055084228516,5.7220458984375e-06
5000,0.008166790008544922,0.007506132125854492,0.002288818359375,4.0531158447265625e-06
