Amount,Memoized DP (Recursive),Memoized DP (Iterative),Bottom-Up DP,Greedy
734,0.0025589466094970703,0.002340078353881836,0.0007350444793701172,1.1920928955078125e-05
1000,0.0035238265991210938,0.0018019676208496094,0.0005640983581542969,3.814697265625e-06
2001,0.004352092742919922,0.0057637691497802734,0.0018429756164550781,9.298324584960938e-06
3003,0.008041858673095703,0.0077571868896484375,0.0023241043090820312,9.775161743164062e-06
5000,0.011299848556518555,0.010390043258666992,0.0031239986419677734,1.3113021850585938e-05
